This file was created using the 201901 Bloomberg database.

Missing data are indicated by -99.99.



,WML
201901   ,-3.83



 Annual Factors: January-December
,WML
1991   ,13.02
1992    ,8.65
1993    ,7.73
1994    ,3.21
1995    ,9.80
1996    ,7.14
1997   ,23.76
1998   ,16.30
1999   ,50.10
2000  ,-17.83
2001   ,12.62
2002   ,27.97
2003  ,-14.21
2004    ,3.51
2005   ,21.64
2006    ,2.68
2007   ,18.07
2008    ,9.27
2009  ,-56.86
2010   ,14.75
2011    ,6.60
2012    ,7.17
2013   ,21.20
2014    ,1.54
2015   ,16.13
2016  ,-10.37
2017   ,10.11
2018    ,4.95
